epoch,Recall,F1-score,Precision,noise,accuracy,mIoU,loss
25,0.837491768,0.833675546,0.829893955,0.170106045,0.973732753,0.83884879,0.03803299
26,0.838728674,0.830810632,0.823040703,0.176959297,0.973148566,0.838633903,0.037039455
27,0.842450904,0.82865253,0.815298885,0.184701115,0.972614239,0.837633512,0.038935088
28,0.841339679,0.832031681,0.822927393,0.177072607,0.973298611,0.839052191,0.037416924
29,0.838675788,0.832802459,0.82701083,0.17298917,0.973529816,0.839212518,0.035734925
30,0.837682779,0.832055316,0.826502969,0.173497031,0.973419165,0.839107016,0.038918443
31,0.837086413,0.832246931,0.827463094,0.172536906,0.973474503,0.83905497,0.037222322
32,0.834435588,0.832819673,0.831210014,0.168789986,0.9736669,0.839196792,0.037037894
33,0.837083925,0.832801991,0.828563651,0.171436349,0.973579969,0.839116942,0.037277464
34,0.831626417,0.832869185,0.834115682,0.165884318,0.973764884,0.838924821,0.038537119
35,0.836356589,0.832630628,0.828937729,0.171062271,0.973570432,0.839279825,0.037171386
36,0.83370763,0.833147264,0.832587661,0.167412339,0.973751753,0.839101286,0.03682863
37,0.835098217,0.832548872,0.830015055,0.169984945,0.973594714,0.839092138,0.037485372
38,0.834857431,0.8323975,0.829952033,0.170047967,0.97357366,0.839052199,0.038047913
39,0.83637401,0.832291223,0.828248113,0.171751887,0.973505485,0.839063219,0.037476156
40,0.836671726,0.832087626,0.827553495,0.172446505,0.973457385,0.839109729,0.037131138
41,0.839477164,0.833080819,0.826781219,0.173218781,0.973557472,0.839249662,0.036691349
42,0.834997734,0.831748717,0.828524897,0.171475103,0.97344621,0.838982266,0.037454203
43,0.83472926,0.832706856,0.830694239,0.169305761,0.973636285,0.839127267,0.037068557
44,0.842800884,0.833442361,0.8242894,0.1757106,0.973521771,0.839296627,0.037941482
45,0.834948581,0.83244113,0.829948705,0.170051295,0.97357904,0.83918423,0.038682185
46,0.836247395,0.831834062,0.827467078,0.172532922,0.973422686,0.839118584,0.038983341
47,0.833472133,0.832183907,0.830899668,0.169100332,0.973577108,0.839082894,0.03761797
48,0.837610294,0.831967765,0.826400759,0.173599241,0.973404811,0.839161258,0.036978997
49,0.833018248,0.832859157,0.832700138,0.167299862,0.973719083,0.839064658,0.037158784
50,0.831953998,0.83198324,0.832012494,0.167987506,0.97358733,0.838750636,0.038254749
51,0.834754148,0.832286389,0.829833189,0.170166811,0.973555883,0.83883907,0.038196646
52,0.844071388,0.832268317,0.820790799,0.179209201,0.97325726,0.839006819,0.037577812
53,0.836628795,0.831889989,0.827204574,0.172795426,0.973421195,0.839133541,0.037020531
54,0.836785897,0.832282026,0.827826389,0.172173611,0.973490691,0.839052022,0.037505656
55,0.832319844,0.831680129,0.831041406,0.168958594,0.973518396,0.838691324,0.03800882
56,0.835013288,0.832272933,0.829550515,0.170449485,0.973545123,0.839056034,0.038054243
57,0.83394935,0.831995193,0.830050183,0.169949817,0.973526246,0.838888211,0.03673128
58,0.841925779,0.832957889,0.82417904,0.17582096,0.973456896,0.839322467,0.036779243
59,0.835781688,0.832622765,0.829487641,0.170512359,0.973587109,0.839083421,0.036340538
60,0.835369801,0.831897379,0.828453716,0.171546284,0.973462594,0.839100502,0.03850013
61,0.833946861,0.83149129,0.829050147,0.170949853,0.973430829,0.838668274,0.037902568
62,0.835785733,0.831569507,0.827395616,0.172604384,0.973387107,0.838975962,0.037013181
63,0.833975482,0.832063357,0.830159991,0.169840009,0.973538325,0.839081387,0.037574124
64,0.838749206,0.832348257,0.826044276,0.173955724,0.9734411,0.839226249,0.038083903
65,0.838221592,0.832136028,0.8261382,0.1738618,0.973417429,0.839117359,0.038574811
66,0.836377432,0.832286254,0.828234916,0.171765084,0.973504433,0.839064341,0.037172966
67,0.843114466,0.834156892,0.825387665,0.174612335,0.973648145,0.839348703,0.037313677
68,0.836175221,0.832334197,0.828528309,0.171471691,0.973519937,0.839159819,0.037395477
69,0.836549155,0.83286206,0.829207335,0.170792665,0.973608237,0.839214458,0.038550586
70,0.838966038,0.831950745,0.82505181,0.17494819,0.973358521,0.839166567,0.037754849
71,0.834324217,0.831423064,0.828542027,0.171457973,0.973405862,0.838730982,0.037693173
72,0.8355773,0.83182789,0.828111988,0.171888012,0.973442811,0.83906452,0.037997842
73,0.836012831,0.831313901,0.826667507,0.173332493,0.97333128,0.838982336,0.036770951
74,0.832998649,0.832598853,0.832199451,0.167800549,0.973670544,0.838964066,0.037386775
75,0.835808131,0.832158066,0.828539753,0.171460247,0.973498149,0.83915474,0.037381385
76,0.833887753,0.833334261,0.832781513,0.167218487,0.97378139,0.838929108,0.038533229
77,0.837194052,0.832276593,0.827416574,0.172583426,0.973476728,0.839166864,0.037695944
78,0.838291277,0.832956107,0.827688427,0.172311573,0.973571142,0.83919045,0.038005698
79,0.836447739,0.83141857,0.826449525,0.173550475,0.97333732,0.839056886,0.037937306
80,0.834868319,0.832973409,0.831087091,0.168912909,0.97368233,0.839173289,0.037003364
81,0.835525037,0.832711997,0.829917845,0.170082155,0.973612125,0.839122538,0.037436843
82,0.837157343,0.831383509,0.825688783,0.174311217,0.973308025,0.838935872,0.038419161
83,0.835501394,0.832324957,0.829172592,0.170827408,0.973539524,0.839206967,0.03825086
84,0.84673559,0.833067403,0.819833485,0.180166515,0.973326267,0.839141176,0.037601274
85,0.83743826,0.83270749,0.82802988,0.17197012,0.973550845,0.839245936,0.038413301
86,0.835009555,0.832779458,0.830561252,0.169438748,0.973641175,0.83917493,0.037336819
87,0.83625735,0.831914889,0.827617303,0.172382697,0.973437725,0.839093919,0.037713598
88,0.837917032,0.832900405,0.8279435,0.1720565,0.973572364,0.839262262,0.036782701
89,0.837681223,0.832745837,0.827868275,0.172131725,0.973550454,0.839316416,0.03800559
90,0.833945305,0.833251631,0.832559119,0.167440881,0.973763979,0.839056512,0.038152646
91,0.835980477,0.832405975,0.828861921,0.171138079,0.973539719,0.83914632,0.037073918
92,0.836225618,0.832283977,0.82837933,0.17162067,0.97350881,0.839150733,0.037726812
93,0.832747908,0.832293497,0.831839591,0.168160409,0.973620782,0.838957442,0.036914438
94,0.836573421,0.831280147,0.826053447,0.173946553,0.973306974,0.838930579,0.036968626
95,0.837514477,0.832353034,0.827254829,0.172745171,0.973481105,0.839015102,0.036625698
96,0.838518997,0.833377774,0.828299221,0.171700779,0.973644037,0.839336111,0.036984216
97,0.836691636,0.8313989,0.826172714,0.173827286,0.973325803,0.838962198,0.036472008
98,0.836185799,0.832522222,0.828890619,0.171109381,0.973555271,0.83913219,0.03715441
99,0.836039274,0.832384332,0.828761218,0.171238782,0.973533753,0.839162423,0.038037237
100,0.835581033,0.832430221,0.829303092,0.170696908,0.973556959,0.839223297,0.037444949
